Date of Purchase,Date of Install,User Segment,Item-Purchased,Session Time,Level Reached,Prior Purchases,Purchase Type,Promo Applied,Price (₹),Days Installed Before Last Purchase
2023-01-18,2023-01-06,0,1,180,20,4,0,0,88,12
2023-01-20,2023-01-04,1,9,69,38,2,0,0,684,16
2023-02-14,2023-01-27,0,8,100,27,5,1,0,550,18
2023-02-09,2023-02-05,0,4,159,7,3,1,1,851,4
2023-01-25,2022-12-28,0,8,136,1,1,1,1,470,28
2023-01-18,2023-01-06,1,8,131,16,12,1,0,433,12
2023-02-03,2023-01-23,0,5,43,32,5,0,0,75,11
2023-02-13,2023-01-26,2,9,32,7,1,0,0,580,18
2023-01-18,2023-01-12,2,2,167,27,6,0,1,351,6
2023-01-25,2023-01-10,0,0,145,28,0,0,0,186,15
2023-02-01,2023-01-06,0,3,148,33,4,0,1,236,26
2023-02-01,2023-01-19,1,1,133,36,3,0,1,93,13
2023-01-24,2023-01-15,0,8,162,13,4,1,0,524,9
2023-01-29,2023-01-02,0,8,95,31,0,1,0,534,27
2023-02-05,2023-01-23,1,6,41,14,9,0,1,231,13
2023-01-19,2023-01-14,1,1,178,19,7,0,0,82,5
2023-02-01,2023-01-11,0,9,124,18,2,0,0,695,21
2023-02-07,2023-01-18,1,3,130,36,8,0,0,231,20
2023-01-18,2023-01-09,1,6,109,31,14,0,1,239,9
2023-02-09,2023-01-15,2,6,170,37,8,0,0,219,25
2023-01-27,2023-01-19,0,4,152,23,5,1,1,903,8
2023-01-16,2023-01-02,0,6,115,13,3,0,1,219,14
2023-01-24,2023-01-20,0,6,17,26,4,0,0,198,4
2023-02-03,2023-01-31,0,1,74,18,2,0,0,93,3
2023-01-19,2023-01-16,1,2,52,9,3,0,0,378,3
2023-01-16,2022-12-18,1,8,107,14,7,1,0,587,29
2023-01-30,2023-01-09,2,9,97,21,11,0,1,543,21
2023-01-17,2023-01-03,0,0,79,3,5,0,1,102,14
2023-01-26,2023-01-09,2,1,37,26,14,0,1,98,17
2023-01-29,2023-01-21,0,8,12,3,2,1,0,592,8
2023-01-19,2023-01-08,0,9,129,26,0,0,0,539,11
2023-02-02,2023-01-25,0,1,86,18,1,0,0,82,8
2023-02-09,2023-01-21,0,1,89,2,1,0,0,93,19
2023-01-26,2023-01-18,0,7,61,40,0,0,0,251,8
2023-02-02,2023-01-29,0,1,28,20,0,0,1,86,4
2023-01-17,2023-01-10,2,8,117,37,2,1,0,572,7
2023-02-06,2023-01-09,1,9,116,36,4,0,1,699,28
2023-01-22,2023-01-14,0,7,30,29,5,0,1,296,8
2023-01-24,2023-01-19,1,0,103,25,4,0,0,104,5
2023-02-12,2023-01-22,1,3,11,34,0,0,0,236,21
2023-01-31,2023-01-28,2,3,133,5,7,0,1,244,3
2023-02-01,2023-01-19,0,9,83,32,0,0,0,595,13
2023-02-08,2023-01-09,1,2,171,7,4,0,0,447,30
2023-01-18,2022-12-25,0,9,77,13,2,0,1,562,24
2023-01-25,2023-01-04,0,4,142,35,2,1,0,964,21
2023-01-19,2023-01-09,1,0,64,10,7,0,0,124,10
2023-01-24,2023-01-23,0,5,123,24,1,0,1,67,1
2023-01-17,2022-12-19,0,3,142,35,4,0,0,239,29
2023-01-31,2023-01-17,0,1,73,14,0,0,0,93,14
2023-02-13,2023-02-11,1,5,8,8,7,0,0,88,2
2023-02-05,2023-01-26,0,1,39,31,1,0,1,79,10
2023-01-16,2022-12-30,0,4,10,32,4,1,1,841,17
2023-01-22,2022-12-25,0,8,178,22,0,1,0,431,28
2023-02-13,2023-01-31,1,5,124,6,7,0,1,90,13
2023-02-14,2023-02-10,0,0,67,38,5,0,0,126,4
2023-01-28,2023-01-26,2,5,110,31,6,0,0,89,2
2023-02-06,2023-01-18,0,4,128,5,3,1,0,963,19
2023-02-07,2023-01-25,2,8,33,7,12,1,0,586,13
2023-02-01,2023-01-19,0,4,54,38,0,1,0,873,13
2023-01-24,2023-01-19,1,6,65,22,6,0,0,185,5
2023-02-11,2023-01-12,0,1,100,7,0,0,1,90,30
2023-01-21,2023-01-12,0,7,121,40,2,0,0,223,9
2023-01-26,2023-01-21,0,2,14,40,1,0,0,488,5
2023-02-06,2023-01-12,1,1,46,24,8,0,0,92,25
2023-02-06,2023-01-28,1,7,168,32,4,0,0,263,9
2023-02-14,2023-01-15,0,9,165,40,3,0,1,531,30
2023-01-19,2022-12-30,1,8,23,6,11,1,0,508,20
2023-02-03,2023-02-02,0,3,102,28,2,0,0,231,1
2023-02-03,2023-01-21,0,6,73,32,0,0,0,218,13
2023-02-04,2023-01-28,1,9,22,17,10,0,1,548,7
2023-02-09,2023-01-14,1,7,95,1,7,0,0,232,26
2023-01-25,2023-01-21,1,3,134,30,6,0,0,219,4
2023-02-13,2023-01-18,0,6,122,16,1,0,1,231,26
2023-02-08,2023-02-03,0,3,78,34,5,0,0,215,5
2023-02-04,2023-01-08,2,0,123,16,7,0,0,168,27
2023-02-12,2023-01-18,0,5,65,10,0,0,1,93,25
2023-02-05,2023-01-27,1,1,163,17,8,0,1,93,9
2023-01-18,2023-01-14,0,9,29,24,3,0,0,649,4
2023-02-03,2023-01-13,1,2,56,31,12,0,0,388,21
2023-01-16,2023-01-11,0,9,143,37,3,0,0,551,5
2023-02-13,2023-02-08,0,7,82,24,0,0,0,217,5
2023-01-19,2022-12-25,0,1,33,40,0,0,0,85,25
2023-01-22,2023-01-20,1,9,71,12,7,0,0,526,2
2023-02-12,2023-01-24,1,0,74,23,13,0,0,163,19
2023-02-06,2023-01-27,0,7,66,13,3,0,1,214,10
2023-02-14,2023-01-28,1,4,171,26,10,1,0,954,17
2023-02-10,2023-01-27,0,2,53,33,5,0,0,350,14
2023-02-10,2023-01-14,0,5,124,33,0,0,0,99,27
2023-02-10,2023-01-29,1,4,35,32,4,1,0,837,12
2023-02-05,2023-01-31,0,5,113,26,3,0,0,66,5
2023-01-19,2023-01-18,2,7,71,6,12,0,0,277,1
2023-02-12,2023-01-28,0,9,88,20,2,0,0,510,15
2023-01-24,2023-01-17,0,6,103,18,3,0,0,153,7
2023-02-09,2023-01-19,0,3,89,19,1,0,0,229,21
2023-02-03,2023-01-09,1,5,172,9,15,0,1,67,25
2023-01-29,2023-01-28,1,8,97,23,6,1,0,491,1
2023-01-19,2022-12-24,1,5,114,25,7,0,0,98,26
2023-02-11,2023-01-13,0,0,77,21,5,0,0,115,29
2023-01-28,2023-01-05,0,4,42,8,0,1,0,832,23
2023-01-22,2023-01-02,2,6,147,4,0,0,0,204,20
2023-01-19,2022-12-29,1,8,27,5,6,1,0,421,21
2023-02-04,2023-01-31,1,9,93,38,5,0,0,535,4
2023-02-06,2023-02-01,1,8,78,14,2,1,0,501,5
2023-02-11,2023-02-05,1,6,64,9,14,0,0,201,6
2023-02-02,2023-02-01,2,6,157,7,6,0,0,241,1
2023-01-19,2023-01-16,0,6,142,8,5,0,0,240,3
2023-02-10,2023-01-24,1,4,11,9,15,1,0,800,17
2023-02-09,2023-01-30,0,1,66,4,2,0,0,88,10
2023-01-30,2023-01-23,1,8,63,19,13,1,1,409,7
2023-01-15,2022-12-21,1,6,65,37,6,0,0,151,25
2023-01-30,2023-01-29,1,9,137,20,8,0,1,653,1
2023-02-08,2023-02-05,0,1,150,33,4,0,0,80,3
2023-01-19,2023-01-08,0,4,117,5,3,1,0,847,11
2023-02-06,2023-01-20,0,8,17,28,4,1,1,587,17
2023-01-26,2023-01-20,0,6,125,17,1,0,1,194,6
2023-02-14,2023-01-31,2,5,99,11,15,0,0,88,14
2023-01-20,2023-01-06,0,7,115,12,3,0,1,241,14
2023-02-08,2023-01-12,0,2,167,19,2,0,0,394,27
2023-02-13,2023-01-31,0,2,58,37,0,0,0,354,13
2023-02-09,2023-01-29,0,7,104,9,2,0,0,280,11
2023-01-18,2022-12-28,0,6,30,15,5,0,0,247,21
2023-01-15,2022-12-27,0,4,179,25,1,1,0,852,19
2023-01-27,2023-01-15,1,7,57,12,4,0,0,226,12
2023-01-19,2023-01-14,0,9,57,22,3,0,1,531,5
2023-02-03,2023-01-07,0,9,31,15,0,0,0,626,27
2023-01-27,2023-01-06,0,2,149,1,2,0,1,417,21
2023-02-12,2023-01-24,0,1,42,22,2,0,0,92,19
2023-01-30,2023-01-03,0,5,47,33,3,0,1,68,27
2023-02-10,2023-01-29,0,1,165,26,3,0,1,83,12
2023-02-13,2023-02-03,0,0,173,25,3,0,0,191,10
2023-01-27,2023-01-03,1,4,56,21,5,1,1,848,24
2023-01-19,2023-01-11,1,6,149,30,9,0,1,180,8
2023-01-24,2023-01-17,2,0,98,7,4,0,0,169,7
2023-02-11,2023-01-25,0,1,66,21,2,0,0,93,17
2023-01-31,2023-01-15,2,8,141,19,5,1,0,515,16
2023-01-26,2023-01-22,0,1,15,5,1,0,1,91,4
2023-02-12,2023-01-31,0,0,83,33,1,0,0,99,12
2023-01-20,2023-01-07,0,5,136,14,4,0,1,90,13
2023-02-12,2023-02-09,2,3,97,40,10,0,0,224,3
2023-01-30,2023-01-20,1,0,176,22,15,0,0,199,10
2023-01-18,2023-01-17,0,4,18,30,0,1,0,944,1
2023-02-09,2023-01-18,1,7,168,31,2,0,1,222,22
2023-02-14,2023-02-02,2,7,29,30,0,0,0,201,12
2023-02-08,2023-01-30,0,3,28,29,5,0,0,226,9
2023-01-22,2023-01-16,0,0,57,9,5,0,0,160,6
2023-02-08,2023-01-16,1,6,106,14,8,0,0,248,23
2023-02-02,2023-01-19,0,0,96,24,5,0,0,133,14
2023-01-20,2022-12-26,1,3,104,3,5,0,1,204,25
2023-02-04,2023-01-10,0,3,111,12,4,0,1,223,25
2023-02-01,2023-01-26,1,1,70,5,9,0,0,82,6
2023-01-15,2023-01-10,1,0,6,31,14,0,0,181,5
2023-01-18,2022-12-28,0,6,109,28,4,0,0,182,21
2023-02-02,2023-01-06,0,7,19,15,3,0,0,239,27
2023-01-25,2023-01-07,0,3,48,6,2,0,0,199,18
2023-01-20,2023-01-11,0,3,38,36,3,0,0,234,9
2023-01-31,2023-01-20,1,8,145,39,3,1,0,581,11
2023-02-04,2023-01-08,0,3,5,25,0,0,1,247,27
2023-01-21,2022-12-23,0,8,38,5,0,1,1,518,29
2023-02-05,2023-02-04,0,8,134,21,4,1,0,401,1
2023-02-12,2023-01-28,0,0,64,14,1,0,0,152,15
2023-01-20,2023-01-14,0,9,169,13,2,0,1,646,6
2023-02-03,2023-01-22,0,7,168,37,2,0,0,253,12
2023-02-02,2023-01-16,0,2,93,1,2,0,0,480,17
2023-01-25,2023-01-10,0,1,67,24,3,0,0,81,15
2023-02-05,2023-01-17,0,8,136,20,2,1,0,433,19
2023-01-28,2023-01-10,0,4,38,15,2,1,0,870,18
2023-02-13,2023-02-09,0,8,69,6,4,1,1,563,4
2023-02-02,2023-01-12,0,2,49,32,5,0,0,358,21
2023-02-05,2023-01-08,0,3,63,32,3,0,0,242,28
2023-01-30,2023-01-05,2,7,25,8,6,0,0,285,25
2023-01-21,2022-12-24,1,3,179,23,1,0,0,208,28
2023-02-05,2023-01-21,2,2,173,23,7,0,1,426,15
2023-02-01,2023-01-13,0,7,154,6,3,0,1,291,19
2023-01-27,2023-01-14,0,0,102,5,5,0,0,158,13
2023-01-31,2023-01-21,0,3,85,34,5,0,0,221,10
2023-02-07,2023-02-01,0,4,163,6,4,1,0,909,6
2023-01-15,2022-12-16,1,9,13,12,5,0,1,683,30
2023-02-14,2023-01-22,0,7,100,22,1,0,0,217,23
2023-02-10,2023-02-09,0,6,145,8,5,0,0,240,1
2023-02-11,2023-01-28,0,8,165,5,5,1,0,483,14
2023-02-08,2023-01-16,0,0,102,35,5,0,0,139,23
2023-01-24,2023-01-12,2,3,109,20,12,0,0,241,12
2023-01-28,2023-01-04,2,6,144,2,4,0,0,224,24
2023-02-07,2023-01-17,1,0,42,21,5,0,0,155,21
2023-01-30,2023-01-24,0,0,137,20,1,0,1,158,6
2023-02-02,2023-01-08,0,7,11,38,2,0,0,240,25
2023-02-01,2023-01-03,1,1,107,35,9,0,0,98,29
2023-01-21,2023-01-13,0,8,46,28,4,1,1,453,8
2023-01-28,2023-01-01,0,9,151,27,5,0,0,589,27
2023-01-21,2023-01-15,0,8,47,1,3,1,0,441,6
2023-01-27,2023-01-26,1,6,67,38,4,0,0,215,1
2023-01-25,2023-01-20,0,0,140,21,0,0,0,176,5
2023-02-14,2023-02-06,0,4,136,20,5,1,1,893,8
2023-02-01,2023-01-17,0,9,67,9,3,0,0,605,15
2023-02-11,2023-01-12,0,6,10,28,0,0,0,191,30
2023-02-03,2023-01-27,0,6,28,21,0,0,1,215,7
2023-01-24,2023-01-02,0,4,147,31,4,1,1,999,22
2023-02-06,2023-01-19,1,3,96,8,1,0,0,233,18
2023-01-17,2023-01-04,1,0,163,24,5,0,0,154,13
2023-01-19,2023-01-04,1,8,16,37,12,1,0,476,15
2023-02-04,2023-01-27,0,1,156,19,4,0,0,85,8
2023-02-09,2023-02-05,1,9,53,29,4,0,1,623,4
2023-02-07,2023-01-16,0,9,135,19,4,0,1,610,22
2023-01-29,2023-01-17,0,8,167,3,2,1,1,590,12
2023-02-02,2023-01-11,0,9,127,22,0,0,0,542,22
2023-01-24,2022-12-30,0,0,107,9,1,0,0,122,25
2023-01-17,2023-01-08,1,7,69,14,8,0,1,207,9
2023-02-06,2023-01-19,1,8,27,35,2,1,1,535,18
2023-01-26,2022-12-28,1,6,128,35,10,0,1,164,29
2023-02-08,2023-01-16,1,3,118,33,14,0,0,234,23
2023-02-04,2023-01-13,0,2,31,22,1,0,0,474,22
2023-02-09,2023-01-27,0,5,155,33,4,0,0,79,13
2023-01-17,2022-12-24,1,4,20,7,15,1,1,827,24
2023-02-09,2023-01-17,0,2,77,15,2,0,0,447,23
2023-01-20,2023-01-19,0,5,160,8,0,0,0,58,1
2023-02-02,2023-01-14,0,5,47,18,1,0,0,51,19
2023-01-28,2023-01-01,1,0,152,33,6,0,0,119,27
2023-01-26,2023-01-21,0,1,138,15,2,0,0,86,5
2023-02-10,2023-01-11,0,4,114,38,0,1,0,888,30
2023-02-11,2023-02-10,0,6,106,6,5,0,1,189,1
2023-02-10,2023-01-29,1,0,55,18,13,0,0,132,12
2023-02-06,2023-01-29,0,3,136,17,3,0,0,225,8
2023-01-21,2023-01-07,0,9,110,14,5,0,0,651,14
2023-01-29,2022-12-31,0,5,145,3,4,0,0,63,29
2023-01-19,2022-12-26,1,5,60,32,12,0,0,64,24
2023-02-01,2023-01-05,0,6,9,14,0,0,1,199,27
2023-02-10,2023-01-29,2,0,176,34,14,0,0,197,12
2023-02-09,2023-01-10,0,0,52,2,5,0,0,110,30
2023-02-02,2023-01-23,0,4,101,33,2,1,0,916,10
2023-01-22,2023-01-06,0,9,113,5,4,0,0,561,16
2023-02-04,2023-01-06,2,4,11,22,5,1,1,995,29
2023-02-12,2023-02-01,2,5,24,3,3,0,0,81,11
2023-01-30,2023-01-05,2,9,83,10,14,0,1,508,25
2023-01-28,2022-12-30,2,3,62,23,13,0,1,238,29
2023-01-30,2023-01-21,2,3,39,1,5,0,0,220,9
2023-02-06,2023-02-04,0,7,153,23,1,0,1,273,2
2023-01-21,2023-01-19,0,4,143,28,2,1,0,873,2
2023-01-20,2023-01-07,0,5,92,19,1,0,0,56,13
2023-02-04,2023-01-06,1,9,65,37,9,0,0,640,29
2023-02-12,2023-02-09,0,2,83,21,1,0,0,448,3
2023-02-04,2023-02-02,0,4,40,31,3,1,0,928,2
2023-01-21,2022-12-27,1,1,164,16,8,0,0,89,25
2023-02-03,2023-01-05,2,3,131,33,10,0,0,243,29
2023-02-07,2023-01-15,1,8,129,23,3,1,0,577,23
2023-01-22,2023-01-15,1,2,53,9,11,0,0,491,7
2023-02-13,2023-01-18,1,7,45,21,7,0,0,242,26
2023-02-02,2023-01-16,1,8,36,36,8,1,0,523,17
2023-01-23,2022-12-28,0,3,151,17,5,0,1,249,26
2023-01-30,2023-01-05,1,5,68,3,15,0,1,96,25
2023-02-02,2023-01-11,0,7,61,27,3,0,1,267,22
2023-01-22,2023-01-17,0,0,36,24,3,0,0,163,5
2023-02-05,2023-01-17,1,9,178,1,15,0,0,603,19
2023-02-02,2023-01-12,0,9,135,1,5,0,0,677,21
2023-01-18,2022-12-29,1,0,80,6,0,0,0,195,20
2023-01-29,2023-01-21,1,5,23,26,13,0,0,56,8
2023-02-02,2023-01-20,0,9,180,19,0,0,1,499,13
2023-02-02,2023-01-21,0,7,84,19,3,0,0,216,12
2023-01-26,2023-01-24,2,6,62,5,5,0,1,242,2
2023-02-05,2023-01-16,1,8,97,3,15,1,0,474,20
2023-02-13,2023-01-24,0,7,145,20,4,0,0,258,20
2023-01-16,2023-01-06,1,0,85,28,0,0,1,160,10
2023-02-07,2023-01-10,0,3,76,4,4,0,1,243,28
2023-01-30,2023-01-11,0,5,180,19,5,0,0,54,19
2023-01-29,2022-12-31,0,4,85,5,2,1,1,944,29
2023-01-23,2022-12-30,1,2,91,16,4,0,0,426,24
2023-02-07,2023-01-17,0,2,67,33,2,0,1,349,21
2023-01-16,2022-12-31,0,1,71,36,3,0,1,92,16
2023-02-09,2023-01-13,0,2,92,31,1,0,0,464,27
2023-02-08,2023-02-07,0,0,112,20,2,0,0,104,1
2023-01-26,2023-01-16,0,1,7,26,0,0,1,96,10
2023-02-14,2023-01-29,1,2,59,3,2,0,0,376,16
2023-01-28,2023-01-21,1,2,94,30,6,0,0,426,7
2023-02-10,2023-01-22,0,9,154,13,0,0,0,532,19
2023-01-20,2023-01-05,0,2,164,5,2,0,0,378,15
2023-01-23,2023-01-03,0,5,172,8,3,0,1,70,20
2023-01-18,2023-01-15,0,1,98,16,3,0,1,96,3
2023-01-20,2023-01-10,0,1,99,15,3,0,0,90,10
2023-02-12,2023-01-17,0,5,11,38,5,0,0,98,26
2023-01-18,2023-01-05,0,9,143,6,3,0,0,582,13
2023-02-11,2023-01-19,0,4,128,5,1,1,1,854,23
2023-01-16,2023-01-08,1,4,97,14,0,1,0,935,8
2023-02-12,2023-01-28,0,7,105,15,1,0,0,223,15
2023-01-22,2023-01-07,0,1,165,10,0,0,1,81,15
2023-02-11,2023-01-21,0,8,145,5,5,1,0,498,21
2023-01-17,2023-01-14,0,2,176,23,4,0,0,361,3
2023-02-06,2023-01-22,1,5,15,12,6,0,0,94,15
2023-02-11,2023-02-01,0,7,57,23,5,0,0,268,10
2023-02-14,2023-02-03,0,1,75,30,0,0,0,92,11
2023-02-14,2023-01-15,0,2,52,27,0,0,0,499,30
2023-01-17,2022-12-22,2,6,54,9,6,0,0,247,26
2023-02-03,2023-01-20,0,8,93,33,1,1,0,596,14
2023-01-15,2022-12-19,0,5,97,37,0,0,0,96,27
2023-02-03,2023-01-05,2,7,174,35,3,0,1,203,29
2023-01-19,2023-01-05,1,4,121,25,10,1,0,850,14
2023-01-20,2023-01-15,1,6,25,15,0,0,1,215,5
2023-01-21,2022-12-22,0,9,62,21,4,0,0,671,30
2023-02-10,2023-01-22,1,7,42,24,9,0,1,281,19
2023-02-09,2023-02-06,0,1,55,39,0,0,0,86,3
2023-01-15,2023-01-11,0,1,145,26,5,0,0,95,4
2023-01-28,2023-01-22,0,8,161,26,5,1,0,532,6
2023-02-12,2023-01-23,1,5,53,30,5,0,0,96,20
2023-01-25,2023-01-03,0,8,76,19,4,1,1,543,22
2023-01-31,2023-01-28,0,5,28,22,1,0,0,87,3
2023-02-12,2023-02-11,0,6,115,31,2,0,1,164,1
2023-01-23,2023-01-13,1,9,53,35,8,0,0,645,10
2023-02-07,2023-01-27,1,4,144,34,6,1,1,864,11
2023-01-25,2022-12-26,0,5,97,8,0,0,0,96,30
2023-02-03,2023-01-13,0,0,13,31,2,0,1,143,21
2023-02-05,2023-01-07,1,9,85,23,14,0,0,605,29
2023-02-03,2023-01-06,1,3,45,37,13,0,0,235,28
2023-02-06,2023-01-21,0,2,74,21,2,0,0,362,16
2023-01-30,2023-01-12,0,6,45,26,1,0,0,163,18
2023-01-30,2023-01-24,0,7,101,29,5,0,0,297,6
2023-01-30,2023-01-28,1,9,158,21,10,0,0,533,2
2023-02-12,2023-02-05,2,8,150,17,12,1,1,468,7
2023-02-06,2023-02-03,1,0,45,33,9,0,0,146,3
2023-01-30,2023-01-04,1,8,99,17,6,1,1,589,26
2023-01-18,2023-01-13,0,4,62,26,5,1,1,909,5
2023-02-08,2023-01-21,0,0,147,8,3,0,0,111,18
2023-02-05,2023-01-20,1,6,54,32,1,0,1,228,16
2023-02-03,2023-01-20,1,2,45,6,14,0,0,385,14
2023-02-01,2023-01-30,1,7,147,25,9,0,0,202,2
2023-02-03,2023-01-30,1,3,128,21,11,0,0,235,4
2023-02-11,2023-01-31,0,0,31,8,2,0,0,130,11
2023-02-02,2023-01-11,1,0,143,9,12,0,0,167,22
2023-01-15,2023-01-08,1,3,143,35,4,0,0,201,7
2023-01-25,2023-01-02,0,2,173,21,5,0,1,360,23
2023-02-10,2023-02-06,0,5,66,10,1,0,0,64,4
2023-02-08,2023-01-30,1,6,5,38,0,0,1,204,9
2023-02-05,2023-01-21,0,1,28,25,3,0,0,87,15
2023-02-11,2023-01-21,1,8,104,6,14,1,1,548,21
2023-01-29,2023-01-04,0,2,66,6,3,0,0,382,25
2023-02-12,2023-02-01,0,3,18,3,0,0,1,200,11
2023-01-27,2023-01-10,0,4,171,33,4,1,0,826,17
2023-02-07,2023-01-09,0,1,124,18,3,0,1,84,29
2023-02-13,2023-01-31,0,6,38,27,0,0,0,170,13
2023-01-21,2023-01-07,0,2,137,13,5,0,1,396,14
2023-01-20,2022-12-21,0,5,137,23,1,0,0,67,30
2023-01-26,2023-01-23,0,0,119,39,0,0,0,196,3
2023-02-05,2023-02-03,0,0,72,15,3,0,0,134,2
2023-02-12,2023-01-28,2,3,80,16,4,0,0,234,15
2023-01-21,2023-01-08,0,7,100,29,2,0,0,227,13
2023-02-12,2023-01-30,0,6,26,27,0,0,0,195,13
2023-02-12,2023-01-22,1,5,91,18,15,0,0,98,21
2023-02-02,2023-01-29,0,3,35,32,0,0,0,244,4
2023-02-05,2023-01-10,0,6,44,16,2,0,1,189,26
2023-01-16,2023-01-14,0,8,110,8,1,1,0,487,2
2023-01-17,2022-12-21,1,0,72,40,0,0,0,119,27
2023-01-22,2023-01-17,0,2,156,9,3,0,1,488,5
2023-01-29,2023-01-28,2,3,27,1,9,0,1,229,1
2023-01-23,2023-01-20,0,9,47,4,0,0,0,502,3
2023-01-29,2023-01-06,1,2,114,5,1,0,1,454,23
2023-01-20,2023-01-17,2,7,100,26,8,0,0,233,3
2023-01-16,2022-12-19,0,4,119,15,1,1,0,957,28
2023-02-10,2023-01-25,0,6,105,15,3,0,1,246,16
2023-02-03,2023-01-19,1,3,39,29,12,0,0,217,15
2023-01-30,2023-01-09,1,2,137,33,5,0,0,497,21
2023-01-15,2023-01-04,1,8,171,13,3,1,0,401,11
2023-02-03,2023-01-15,0,4,37,11,5,1,0,997,19
2023-02-06,2023-01-26,0,8,53,14,4,1,0,421,11
2023-02-13,2023-01-26,1,9,171,20,1,0,0,523,18
2023-01-29,2023-01-04,1,1,64,2,5,0,0,97,25
2023-01-21,2022-12-28,1,3,51,5,10,0,1,218,24
2023-01-15,2023-01-06,1,3,76,22,0,0,0,244,9
2023-02-13,2023-01-22,2,6,6,25,12,0,0,215,22
2023-01-23,2023-01-16,0,7,30,29,5,0,0,214,7
2023-02-13,2023-02-03,1,6,28,19,6,0,0,238,10
2023-02-12,2023-02-10,1,2,145,18,15,0,1,404,2
2023-02-07,2023-01-08,0,8,52,15,0,1,1,430,30
2023-02-11,2023-01-18,2,1,106,16,0,0,0,94,24
2023-01-15,2022-12-31,0,2,15,10,1,0,1,395,15
2023-01-28,2023-01-22,0,1,31,22,3,0,1,84,6
2023-01-31,2023-01-15,0,5,87,11,4,0,1,64,16
2023-01-30,2023-01-28,0,7,154,38,0,0,1,266,2
2023-01-31,2023-01-22,0,6,44,14,5,0,0,216,9
2023-02-07,2023-01-31,0,0,47,20,4,0,1,102,7
2023-01-30,2023-01-20,1,0,78,13,12,0,1,192,10
2023-01-19,2023-01-07,0,8,8,19,4,1,0,560,12
2023-02-13,2023-02-03,1,0,59,26,15,0,0,125,10
2023-01-16,2022-12-24,1,0,58,32,14,0,0,163,23
2023-02-11,2023-01-13,1,1,122,14,10,0,0,92,29
2023-02-03,2023-01-19,0,1,22,28,2,0,0,88,15
2023-02-03,2023-01-06,0,1,97,4,1,0,1,79,28
2023-01-27,2023-01-23,1,4,34,24,4,1,0,816,4
2023-01-19,2022-12-26,0,2,32,19,4,0,0,396,24
2023-01-27,2023-01-07,0,9,36,32,0,0,0,602,20
2023-01-23,2022-12-29,1,9,131,17,9,0,1,645,25
2023-02-02,2023-01-17,0,1,51,11,3,0,0,97,16
2023-01-27,2023-01-10,0,6,47,31,4,0,0,215,17
2023-01-29,2023-01-18,0,7,105,14,1,0,0,282,11
2023-02-01,2023-01-10,0,6,52,36,5,0,0,174,22
2023-01-22,2023-01-13,0,9,169,39,5,0,0,550,9
2023-02-10,2023-02-04,0,8,140,33,3,1,0,402,6
2023-01-18,2022-12-31,0,3,124,4,1,0,1,235,18
2023-02-01,2023-01-23,0,6,122,8,4,0,0,172,9
2023-01-24,2023-01-15,0,2,147,2,4,0,0,465,9
2023-02-11,2023-01-27,1,9,7,31,1,0,0,530,15
2023-01-18,2023-01-08,0,6,130,13,4,0,0,165,10
2023-01-15,2023-01-06,0,4,23,38,0,1,1,944,9
2023-02-07,2023-01-18,1,3,140,40,13,0,0,220,20
2023-01-23,2023-01-15,0,2,110,34,3,0,0,487,8
2023-01-21,2022-12-23,1,2,24,26,5,0,0,437,29
2023-02-04,2023-01-15,0,5,154,30,5,0,1,74,20
2023-01-24,2023-01-04,0,7,50,32,4,0,0,266,20
2023-02-05,2023-01-24,1,0,142,19,3,0,1,117,12
2023-02-08,2023-01-18,1,7,41,3,0,0,1,257,21
2023-01-17,2023-01-12,1,7,152,32,13,0,0,296,5
2023-01-25,2023-01-13,1,2,88,27,10,0,0,442,12
2023-01-25,2023-01-14,0,7,45,18,4,0,0,249,11
2023-02-02,2023-01-15,1,6,23,19,13,0,1,188,18
2023-02-02,2023-01-13,1,3,119,25,15,0,0,215,20
2023-02-06,2023-02-01,2,0,78,7,15,0,0,104,5
2023-02-05,2023-01-15,0,9,74,5,4,0,1,631,21
2023-01-29,2023-01-10,0,7,15,34,1,0,0,297,19
2023-01-30,2023-01-06,1,9,150,12,10,0,1,570,24
2023-01-31,2023-01-17,1,2,62,10,2,0,0,419,14
2023-01-29,2023-01-13,0,4,46,36,3,1,0,885,16
2023-02-08,2023-01-09,0,0,68,29,5,0,0,160,30
2023-01-23,2023-01-15,0,6,135,31,2,0,1,214,8
2023-01-30,2022-12-31,0,1,91,34,5,0,0,85,30
2023-01-24,2023-01-02,2,7,164,27,6,0,0,239,22
2023-02-04,2023-01-12,1,4,65,7,13,1,1,933,23
2023-01-20,2022-12-22,0,3,99,34,0,0,0,201,29
2023-01-24,2023-01-03,2,2,88,2,0,0,0,466,21
2023-01-25,2023-01-17,0,0,115,29,4,0,0,107,8
2023-02-09,2023-02-07,0,3,5,2,4,0,1,247,2
2023-01-26,2023-01-07,0,7,37,21,2,0,0,279,19
2023-02-07,2023-01-16,1,8,7,22,8,1,0,555,22
2023-01-31,2023-01-26,0,0,112,31,3,0,0,176,5
2023-01-30,2023-01-25,1,3,178,37,9,0,0,247,5
2023-02-12,2023-01-18,1,7,175,23,9,0,1,256,25
2023-02-05,2023-01-31,1,3,132,38,13,0,1,221,5
2023-02-02,2023-01-03,1,8,141,28,14,1,0,479,30
2023-01-19,2022-12-25,1,3,177,26,15,0,1,224,25
2023-02-12,2023-01-14,2,4,178,3,8,1,1,973,29
