Date of Purchase,Date of Install,User Segment,Item-Purchased,Session Time,Level Reached,Prior Purchases,Purchase Type,Promo Applied,Price (₹)
11/02/2023,31/01/2023,Casual,Coin Pack - 1000,02h 30m,17,1,One-time,No,84
22/01/2023,26/12/2022,Casual,Lifetime Membership,00h 44m,31,1,Subscription,No,855
25/01/2023,19/01/2023,Hardcore,Coin Pack - 5000,02h 45m,28,13,One-time,No,234
30/01/2023,21/01/2023,Casual,Coin Pack - 10000,00h 45m,20,0,One-time,No,417
01/02/2023,13/01/2023,Casual,Ultra Bundle,02h 13m,16,5,One-time,Yes,594
22/01/2023,10/01/2023,Casual,Season Pass,01h 32m,40,1,Subscription,No,585
24/01/2023,03/01/2023,Whales,Coin Pack - 1000,00h 51m,13,9,One-time,No,79
19/01/2023,10/01/2023,Casual,Limited-Time Offer Pack,02h 32m,38,2,One-time,No,74
23/01/2023,01/01/2023,Whales,Lifetime Membership,02h 03m,5,1,Subscription,No,834
08/02/2023,07/02/2023,Casual,Lifetime Membership,01h 58m,28,5,Subscription,Yes,813
31/01/2023,06/01/2023,Hardcore,Ultra Bundle,00h 53m,18,4,One-time,No,686
22/01/2023,10/01/2023,Hardcore,Lifetime Membership,02h 05m,40,10,Subscription,No,815
06/02/2023,25/01/2023,Hardcore,Power-Up Bundle,01h 41m,31,6,One-time,Yes,182
31/01/2023,05/01/2023,Casual,Coin Pack - 10000,02h 31m,18,4,One-time,Yes,473
13/02/2023,01/02/2023,Casual,Coin Pack - 10000,00h 39m,34,4,One-time,No,424
05/02/2023,31/01/2023,Hardcore,Coin Pack - 1000,00h 54m,8,4,One-time,No,79
17/01/2023,25/12/2022,Hardcore,Limited-Time Offer Pack,02h 33m,22,14,One-time,Yes,60
20/01/2023,01/01/2023,Hardcore,Coin Pack - 5000,00h 13m,34,9,One-time,No,210
26/01/2023,28/12/2022,Whales,Coin Pack - 1000,00h 12m,38,10,One-time,Yes,87
10/02/2023,01/02/2023,Casual,Coin Pack - 10000,01h 43m,19,0,One-time,No,485
19/01/2023,15/01/2023,Casual,Coin Pack - 1000,02h 35m,32,5,One-time,No,83
04/02/2023,12/01/2023,Casual,Coin Pack - 5000,00h 48m,22,0,One-time,Yes,199
29/01/2023,08/01/2023,Hardcore,Character Skin,00h 12m,6,11,One-time,No,146
24/01/2023,09/01/2023,Whales,Coin Pack - 1000,02h 59m,37,8,One-time,No,85
15/01/2023,30/12/2022,Whales,Ultra Bundle,00h 54m,17,4,One-time,No,628
23/01/2023,26/12/2022,Casual,Limited-Time Offer Pack,02h 57m,18,2,One-time,No,68
04/02/2023,11/01/2023,Casual,Character Skin,01h 03m,40,3,One-time,No,134
03/02/2023,30/01/2023,Hardcore,Lifetime Membership,00h 38m,33,3,Subscription,No,880
25/01/2023,03/01/2023,Casual,Premium Weapon,00h 40m,17,0,One-time,No,294
21/01/2023,26/12/2022,Casual,Coin Pack - 10000,01h 14m,17,5,One-time,No,385
08/02/2023,05/02/2023,Casual,Limited-Time Offer Pack,01h 14m,31,1,One-time,No,91
13/02/2023,02/02/2023,Hardcore,Coin Pack - 10000,00h 12m,35,3,One-time,No,392
09/02/2023,03/02/2023,Casual,Coin Pack - 1000,02h 53m,9,3,One-time,Yes,87
16/01/2023,20/12/2022,Whales,Limited-Time Offer Pack,02h 15m,28,10,One-time,No,89
04/02/2023,28/01/2023,Hardcore,Lifetime Membership,01h 54m,27,7,Subscription,Yes,934
04/02/2023,17/01/2023,Casual,Season Pass,02h 29m,23,2,Subscription,Yes,426
22/01/2023,06/01/2023,Casual,Coin Pack - 5000,00h 38m,5,5,One-time,No,223
14/02/2023,18/01/2023,Hardcore,Coin Pack - 5000,01h 34m,2,1,One-time,No,206
09/02/2023,16/01/2023,Casual,Ultra Bundle,02h 13m,16,2,One-time,Yes,545
17/01/2023,27/12/2022,Casual,Limited-Time Offer Pack,01h 04m,27,4,One-time,Yes,81
17/01/2023,26/12/2022,Hardcore,Limited-Time Offer Pack,00h 30m,25,15,One-time,No,66
18/01/2023,06/01/2023,Casual,Coin Pack - 1000,03h 00m,20,4,One-time,No,88
20/01/2023,04/01/2023,Hardcore,Ultra Bundle,01h 09m,38,2,One-time,No,684
14/02/2023,27/01/2023,Casual,Season Pass,01h 40m,27,5,Subscription,No,550
09/02/2023,05/02/2023,Casual,Lifetime Membership,02h 39m,7,3,Subscription,Yes,851
25/01/2023,28/12/2022,Casual,Season Pass,02h 16m,1,1,Subscription,Yes,470
18/01/2023,06/01/2023,Hardcore,Season Pass,02h 11m,16,12,Subscription,No,433
03/02/2023,23/01/2023,Casual,Limited-Time Offer Pack,00h 43m,32,5,One-time,No,75
13/02/2023,26/01/2023,Whales,Ultra Bundle,00h 32m,7,1,One-time,No,580
18/01/2023,12/01/2023,Whales,Coin Pack - 10000,02h 47m,27,6,One-time,Yes,351
25/01/2023,10/01/2023,Casual,Character Skin,02h 25m,28,0,One-time,No,186
01/02/2023,06/01/2023,Casual,Coin Pack - 5000,02h 28m,33,4,One-time,Yes,236
01/02/2023,19/01/2023,Hardcore,Coin Pack - 1000,02h 13m,36,3,One-time,Yes,93
24/01/2023,15/01/2023,Casual,Season Pass,02h 42m,13,4,Subscription,No,524
29/01/2023,02/01/2023,Casual,Season Pass,01h 35m,31,0,Subscription,No,534
05/02/2023,23/01/2023,Hardcore,Power-Up Bundle,00h 41m,14,9,One-time,Yes,231
19/01/2023,14/01/2023,Hardcore,Coin Pack - 1000,02h 58m,19,7,One-time,No,82
01/02/2023,11/01/2023,Casual,Ultra Bundle,02h 04m,18,2,One-time,No,695
07/02/2023,18/01/2023,Hardcore,Coin Pack - 5000,02h 10m,36,8,One-time,No,231
18/01/2023,09/01/2023,Hardcore,Power-Up Bundle,01h 49m,31,14,One-time,Yes,239
09/02/2023,15/01/2023,Whales,Power-Up Bundle,02h 50m,37,8,One-time,No,219
27/01/2023,19/01/2023,Casual,Lifetime Membership,02h 32m,23,5,Subscription,Yes,903
16/01/2023,02/01/2023,Casual,Power-Up Bundle,01h 55m,13,3,One-time,Yes,219
24/01/2023,20/01/2023,Casual,Power-Up Bundle,00h 17m,26,4,One-time,No,198
03/02/2023,31/01/2023,Casual,Coin Pack - 1000,01h 14m,18,2,One-time,No,93
19/01/2023,16/01/2023,Hardcore,Coin Pack - 10000,00h 52m,9,3,One-time,No,378
16/01/2023,18/12/2022,Hardcore,Season Pass,01h 47m,14,7,Subscription,No,587
30/01/2023,09/01/2023,Whales,Ultra Bundle,01h 37m,21,11,One-time,Yes,543
17/01/2023,03/01/2023,Casual,Character Skin,01h 19m,3,5,One-time,Yes,102
26/01/2023,09/01/2023,Whales,Coin Pack - 1000,00h 37m,26,14,One-time,Yes,98
29/01/2023,21/01/2023,Casual,Season Pass,00h 12m,3,2,Subscription,No,592
19/01/2023,08/01/2023,Casual,Ultra Bundle,02h 09m,26,0,One-time,No,539
02/02/2023,25/01/2023,Casual,Coin Pack - 1000,01h 26m,18,1,One-time,No,82
09/02/2023,21/01/2023,Casual,Coin Pack - 1000,01h 29m,2,1,One-time,No,93
26/01/2023,18/01/2023,Casual,Premium Weapon,01h 01m,40,0,One-time,No,251
02/02/2023,29/01/2023,Casual,Coin Pack - 1000,00h 28m,20,0,One-time,Yes,86
17/01/2023,10/01/2023,Whales,Season Pass,01h 57m,37,2,Subscription,No,572
06/02/2023,09/01/2023,Hardcore,Ultra Bundle,01h 56m,36,4,One-time,Yes,699
22/01/2023,14/01/2023,Casual,Premium Weapon,00h 30m,29,5,One-time,Yes,296
24/01/2023,19/01/2023,Hardcore,Character Skin,01h 43m,25,4,One-time,No,104
12/02/2023,22/01/2023,Hardcore,Coin Pack - 5000,00h 11m,34,0,One-time,No,236
31/01/2023,28/01/2023,Whales,Coin Pack - 5000,02h 13m,5,7,One-time,Yes,244
01/02/2023,19/01/2023,Casual,Ultra Bundle,01h 23m,32,0,One-time,No,595
08/02/2023,09/01/2023,Hardcore,Coin Pack - 10000,02h 51m,7,4,One-time,No,447
18/01/2023,25/12/2022,Casual,Ultra Bundle,01h 17m,13,2,One-time,Yes,562
25/01/2023,04/01/2023,Casual,Lifetime Membership,02h 22m,35,2,Subscription,No,964
19/01/2023,09/01/2023,Hardcore,Character Skin,01h 04m,10,7,One-time,No,124
24/01/2023,23/01/2023,Casual,Limited-Time Offer Pack,02h 03m,24,1,One-time,Yes,67
17/01/2023,19/12/2022,Casual,Coin Pack - 5000,02h 22m,35,4,One-time,No,239
31/01/2023,17/01/2023,Casual,Coin Pack - 1000,01h 13m,14,0,One-time,No,93
13/02/2023,11/02/2023,Hardcore,Limited-Time Offer Pack,00h 08m,8,7,One-time,No,88
05/02/2023,26/01/2023,Casual,Coin Pack - 1000,00h 39m,31,1,One-time,Yes,79
16/01/2023,30/12/2022,Casual,Lifetime Membership,00h 10m,32,4,Subscription,Yes,841
22/01/2023,25/12/2022,Casual,Season Pass,02h 58m,22,0,Subscription,No,431
13/02/2023,31/01/2023,Hardcore,Limited-Time Offer Pack,02h 04m,6,7,One-time,Yes,90
14/02/2023,10/02/2023,Casual,Character Skin,01h 07m,38,5,One-time,No,126
28/01/2023,26/01/2023,Whales,Limited-Time Offer Pack,01h 50m,31,6,One-time,No,89
06/02/2023,18/01/2023,Casual,Lifetime Membership,02h 08m,5,3,Subscription,No,963
07/02/2023,25/01/2023,Whales,Season Pass,00h 33m,7,12,Subscription,No,586
01/02/2023,19/01/2023,Casual,Lifetime Membership,00h 54m,38,0,Subscription,No,873
24/01/2023,19/01/2023,Hardcore,Power-Up Bundle,01h 05m,22,6,One-time,No,185
11/02/2023,12/01/2023,Casual,Coin Pack - 1000,01h 40m,7,0,One-time,Yes,90
21/01/2023,12/01/2023,Casual,Premium Weapon,02h 01m,40,2,One-time,No,223
26/01/2023,21/01/2023,Casual,Coin Pack - 10000,00h 14m,40,1,One-time,No,488
06/02/2023,12/01/2023,Hardcore,Coin Pack - 1000,00h 46m,24,8,One-time,No,92
06/02/2023,28/01/2023,Hardcore,Premium Weapon,02h 48m,32,4,One-time,No,263
14/02/2023,15/01/2023,Casual,Ultra Bundle,02h 45m,40,3,One-time,Yes,531
19/01/2023,30/12/2022,Hardcore,Season Pass,00h 23m,6,11,Subscription,No,508
03/02/2023,02/02/2023,Casual,Coin Pack - 5000,01h 42m,28,2,One-time,No,231
03/02/2023,21/01/2023,Casual,Power-Up Bundle,01h 13m,32,0,One-time,No,218
04/02/2023,28/01/2023,Hardcore,Ultra Bundle,00h 22m,17,10,One-time,Yes,548
09/02/2023,14/01/2023,Hardcore,Premium Weapon,01h 35m,1,7,One-time,No,232
25/01/2023,21/01/2023,Hardcore,Coin Pack - 5000,02h 14m,30,6,One-time,No,219
13/02/2023,18/01/2023,Casual,Power-Up Bundle,02h 02m,16,1,One-time,Yes,231
08/02/2023,03/02/2023,Casual,Coin Pack - 5000,01h 18m,34,5,One-time,No,215
04/02/2023,08/01/2023,Whales,Character Skin,02h 03m,16,7,One-time,No,168
12/02/2023,18/01/2023,Casual,Limited-Time Offer Pack,01h 05m,10,0,One-time,Yes,93
05/02/2023,27/01/2023,Hardcore,Coin Pack - 1000,02h 43m,17,8,One-time,Yes,93
18/01/2023,14/01/2023,Casual,Ultra Bundle,00h 29m,24,3,One-time,No,649
03/02/2023,13/01/2023,Hardcore,Coin Pack - 10000,00h 56m,31,12,One-time,No,388
16/01/2023,11/01/2023,Casual,Ultra Bundle,02h 23m,37,3,One-time,No,551
13/02/2023,08/02/2023,Casual,Premium Weapon,01h 22m,24,0,One-time,No,217
19/01/2023,25/12/2022,Casual,Coin Pack - 1000,00h 33m,40,0,One-time,No,85
22/01/2023,20/01/2023,Hardcore,Ultra Bundle,01h 11m,12,7,One-time,No,526
12/02/2023,24/01/2023,Hardcore,Character Skin,01h 14m,23,13,One-time,No,163
06/02/2023,27/01/2023,Casual,Premium Weapon,01h 06m,13,3,One-time,Yes,214
14/02/2023,28/01/2023,Hardcore,Lifetime Membership,02h 51m,26,10,Subscription,No,954
10/02/2023,27/01/2023,Casual,Coin Pack - 10000,00h 53m,33,5,One-time,No,350
10/02/2023,14/01/2023,Casual,Limited-Time Offer Pack,02h 04m,33,0,One-time,No,99
10/02/2023,29/01/2023,Hardcore,Lifetime Membership,00h 35m,32,4,Subscription,No,837
05/02/2023,31/01/2023,Casual,Limited-Time Offer Pack,01h 53m,26,3,One-time,No,66
19/01/2023,18/01/2023,Whales,Premium Weapon,01h 11m,6,12,One-time,No,277
12/02/2023,28/01/2023,Casual,Ultra Bundle,01h 28m,20,2,One-time,No,510
24/01/2023,17/01/2023,Casual,Power-Up Bundle,01h 43m,18,3,One-time,No,153
09/02/2023,19/01/2023,Casual,Coin Pack - 5000,01h 29m,19,1,One-time,No,229
03/02/2023,09/01/2023,Hardcore,Limited-Time Offer Pack,02h 52m,9,15,One-time,Yes,67
29/01/2023,28/01/2023,Hardcore,Season Pass,01h 37m,23,6,Subscription,No,491
19/01/2023,24/12/2022,Hardcore,Limited-Time Offer Pack,01h 54m,25,7,One-time,No,98
11/02/2023,13/01/2023,Casual,Character Skin,01h 17m,21,5,One-time,No,115
28/01/2023,05/01/2023,Casual,Lifetime Membership,00h 42m,8,0,Subscription,No,832
22/01/2023,02/01/2023,Whales,Power-Up Bundle,02h 27m,4,0,One-time,No,204
19/01/2023,29/12/2022,Hardcore,Season Pass,00h 27m,5,6,Subscription,No,421
04/02/2023,31/01/2023,Hardcore,Ultra Bundle,01h 33m,38,5,One-time,No,535
06/02/2023,01/02/2023,Hardcore,Season Pass,01h 18m,14,2,Subscription,No,501
11/02/2023,05/02/2023,Hardcore,Power-Up Bundle,01h 04m,9,14,One-time,No,201
02/02/2023,01/02/2023,Whales,Power-Up Bundle,02h 37m,7,6,One-time,No,241
19/01/2023,16/01/2023,Casual,Power-Up Bundle,02h 22m,8,5,One-time,No,240
10/02/2023,24/01/2023,Hardcore,Lifetime Membership,00h 11m,9,15,Subscription,No,800
09/02/2023,30/01/2023,Casual,Coin Pack - 1000,01h 06m,4,2,One-time,No,88
30/01/2023,23/01/2023,Hardcore,Season Pass,01h 03m,19,13,Subscription,Yes,409
15/01/2023,21/12/2022,Hardcore,Power-Up Bundle,01h 05m,37,6,One-time,No,151
30/01/2023,29/01/2023,Hardcore,Ultra Bundle,02h 17m,20,8,One-time,Yes,653
08/02/2023,05/02/2023,Casual,Coin Pack - 1000,02h 30m,33,4,One-time,No,80
19/01/2023,08/01/2023,Casual,Lifetime Membership,01h 57m,5,3,Subscription,No,847
06/02/2023,20/01/2023,Casual,Season Pass,00h 17m,28,4,Subscription,Yes,587
26/01/2023,20/01/2023,Casual,Power-Up Bundle,02h 05m,17,1,One-time,Yes,194
14/02/2023,31/01/2023,Whales,Limited-Time Offer Pack,01h 39m,11,15,One-time,No,88
20/01/2023,06/01/2023,Casual,Premium Weapon,01h 55m,12,3,One-time,Yes,241
08/02/2023,12/01/2023,Casual,Coin Pack - 10000,02h 47m,19,2,One-time,No,394
13/02/2023,31/01/2023,Casual,Coin Pack - 10000,00h 58m,37,0,One-time,No,354
09/02/2023,29/01/2023,Casual,Premium Weapon,01h 44m,9,2,One-time,No,280
18/01/2023,28/12/2022,Casual,Power-Up Bundle,00h 30m,15,5,One-time,No,247
15/01/2023,27/12/2022,Casual,Lifetime Membership,02h 59m,25,1,Subscription,No,852
27/01/2023,15/01/2023,Hardcore,Premium Weapon,00h 57m,12,4,One-time,No,226
19/01/2023,14/01/2023,Casual,Ultra Bundle,00h 57m,22,3,One-time,Yes,531
03/02/2023,07/01/2023,Casual,Ultra Bundle,00h 31m,15,0,One-time,No,626
27/01/2023,06/01/2023,Casual,Coin Pack - 10000,02h 29m,1,2,One-time,Yes,417
12/02/2023,24/01/2023,Casual,Coin Pack - 1000,00h 42m,22,2,One-time,No,92
30/01/2023,03/01/2023,Casual,Limited-Time Offer Pack,00h 47m,33,3,One-time,Yes,68
10/02/2023,29/01/2023,Casual,Coin Pack - 1000,02h 45m,26,3,One-time,Yes,83
13/02/2023,03/02/2023,Casual,Character Skin,02h 53m,25,3,One-time,No,191
27/01/2023,03/01/2023,Hardcore,Lifetime Membership,00h 56m,21,5,Subscription,Yes,848
19/01/2023,11/01/2023,Hardcore,Power-Up Bundle,02h 29m,30,9,One-time,Yes,180
24/01/2023,17/01/2023,Whales,Character Skin,01h 38m,7,4,One-time,No,169
11/02/2023,25/01/2023,Casual,Coin Pack - 1000,01h 06m,21,2,One-time,No,93
31/01/2023,15/01/2023,Whales,Season Pass,02h 21m,19,5,Subscription,No,515
26/01/2023,22/01/2023,Casual,Coin Pack - 1000,00h 15m,5,1,One-time,Yes,91
12/02/2023,31/01/2023,Casual,Character Skin,01h 23m,33,1,One-time,No,99
20/01/2023,07/01/2023,Casual,Limited-Time Offer Pack,02h 16m,14,4,One-time,Yes,90
12/02/2023,09/02/2023,Whales,Coin Pack - 5000,01h 37m,40,10,One-time,No,224
30/01/2023,20/01/2023,Hardcore,Character Skin,02h 56m,22,15,One-time,No,199
18/01/2023,17/01/2023,Casual,Lifetime Membership,00h 18m,30,0,Subscription,No,944
09/02/2023,18/01/2023,Hardcore,Premium Weapon,02h 48m,31,2,One-time,Yes,222
14/02/2023,02/02/2023,Whales,Premium Weapon,00h 29m,30,0,One-time,No,201
08/02/2023,30/01/2023,Casual,Coin Pack - 5000,00h 28m,29,5,One-time,No,226
22/01/2023,16/01/2023,Casual,Character Skin,00h 57m,9,5,One-time,No,160
08/02/2023,16/01/2023,Hardcore,Power-Up Bundle,01h 46m,14,8,One-time,No,248
02/02/2023,19/01/2023,Casual,Character Skin,01h 36m,24,5,One-time,No,133
20/01/2023,26/12/2022,Hardcore,Coin Pack - 5000,01h 44m,3,5,One-time,Yes,204
04/02/2023,10/01/2023,Casual,Coin Pack - 5000,01h 51m,12,4,One-time,Yes,223
01/02/2023,26/01/2023,Hardcore,Coin Pack - 1000,01h 10m,5,9,One-time,No,82
15/01/2023,10/01/2023,Hardcore,Character Skin,00h 06m,31,14,One-time,No,181
18/01/2023,28/12/2022,Casual,Power-Up Bundle,01h 49m,28,4,One-time,No,182
02/02/2023,06/01/2023,Casual,Premium Weapon,00h 19m,15,3,One-time,No,239
25/01/2023,07/01/2023,Casual,Coin Pack - 5000,00h 48m,6,2,One-time,No,199
20/01/2023,11/01/2023,Casual,Coin Pack - 5000,00h 38m,36,3,One-time,No,234
31/01/2023,20/01/2023,Hardcore,Season Pass,02h 25m,39,3,Subscription,No,581
04/02/2023,08/01/2023,Casual,Coin Pack - 5000,00h 05m,25,0,One-time,Yes,247
21/01/2023,23/12/2022,Casual,Season Pass,00h 38m,5,0,Subscription,Yes,518
05/02/2023,04/02/2023,Casual,Season Pass,02h 14m,21,4,Subscription,No,401
12/02/2023,28/01/2023,Casual,Character Skin,01h 04m,14,1,One-time,No,152
20/01/2023,14/01/2023,Casual,Ultra Bundle,02h 49m,13,2,One-time,Yes,646
03/02/2023,22/01/2023,Casual,Premium Weapon,02h 48m,37,2,One-time,No,253
02/02/2023,16/01/2023,Casual,Coin Pack - 10000,01h 33m,1,2,One-time,No,480
25/01/2023,10/01/2023,Casual,Coin Pack - 1000,01h 07m,24,3,One-time,No,81
05/02/2023,17/01/2023,Casual,Season Pass,02h 16m,20,2,Subscription,No,433
28/01/2023,10/01/2023,Casual,Lifetime Membership,00h 38m,15,2,Subscription,No,870
13/02/2023,09/02/2023,Casual,Season Pass,01h 09m,6,4,Subscription,Yes,563
02/02/2023,12/01/2023,Casual,Coin Pack - 10000,00h 49m,32,5,One-time,No,358
05/02/2023,08/01/2023,Casual,Coin Pack - 5000,01h 03m,32,3,One-time,No,242
30/01/2023,05/01/2023,Whales,Premium Weapon,00h 25m,8,6,One-time,No,285
21/01/2023,24/12/2022,Hardcore,Coin Pack - 5000,02h 59m,23,1,One-time,No,208
05/02/2023,21/01/2023,Whales,Coin Pack - 10000,02h 53m,23,7,One-time,Yes,426
01/02/2023,13/01/2023,Casual,Premium Weapon,02h 34m,6,3,One-time,Yes,291
27/01/2023,14/01/2023,Casual,Character Skin,01h 42m,5,5,One-time,No,158
31/01/2023,21/01/2023,Casual,Coin Pack - 5000,01h 25m,34,5,One-time,No,221
07/02/2023,01/02/2023,Casual,Lifetime Membership,02h 43m,6,4,Subscription,No,909
15/01/2023,16/12/2022,Hardcore,Ultra Bundle,00h 13m,12,5,One-time,Yes,683
14/02/2023,22/01/2023,Casual,Premium Weapon,01h 40m,22,1,One-time,No,217
10/02/2023,09/02/2023,Casual,Power-Up Bundle,02h 25m,8,5,One-time,No,240
11/02/2023,28/01/2023,Casual,Season Pass,02h 45m,5,5,Subscription,No,483
08/02/2023,16/01/2023,Casual,Character Skin,01h 42m,35,5,One-time,No,139
24/01/2023,12/01/2023,Whales,Coin Pack - 5000,01h 49m,20,12,One-time,No,241
28/01/2023,04/01/2023,Whales,Power-Up Bundle,02h 24m,2,4,One-time,No,224
07/02/2023,17/01/2023,Hardcore,Character Skin,00h 42m,21,5,One-time,No,155
30/01/2023,24/01/2023,Casual,Character Skin,02h 17m,20,1,One-time,Yes,158
02/02/2023,08/01/2023,Casual,Premium Weapon,00h 11m,38,2,One-time,No,240
01/02/2023,03/01/2023,Hardcore,Coin Pack - 1000,01h 47m,35,9,One-time,No,98
21/01/2023,13/01/2023,Casual,Season Pass,00h 46m,28,4,Subscription,Yes,453
28/01/2023,01/01/2023,Casual,Ultra Bundle,02h 31m,27,5,One-time,No,589
21/01/2023,15/01/2023,Casual,Season Pass,00h 47m,1,3,Subscription,No,441
27/01/2023,26/01/2023,Hardcore,Power-Up Bundle,01h 07m,38,4,One-time,No,215
25/01/2023,20/01/2023,Casual,Character Skin,02h 20m,21,0,One-time,No,176
14/02/2023,06/02/2023,Casual,Lifetime Membership,02h 16m,20,5,Subscription,Yes,893
01/02/2023,17/01/2023,Casual,Ultra Bundle,01h 07m,9,3,One-time,No,605
11/02/2023,12/01/2023,Casual,Power-Up Bundle,00h 10m,28,0,One-time,No,191
03/02/2023,27/01/2023,Casual,Power-Up Bundle,00h 28m,21,0,One-time,Yes,215
24/01/2023,02/01/2023,Casual,Lifetime Membership,02h 27m,31,4,Subscription,Yes,999
06/02/2023,19/01/2023,Hardcore,Coin Pack - 5000,01h 36m,8,1,One-time,No,233
17/01/2023,04/01/2023,Hardcore,Character Skin,02h 43m,24,5,One-time,No,154
19/01/2023,04/01/2023,Hardcore,Season Pass,00h 16m,37,12,Subscription,No,476
04/02/2023,27/01/2023,Casual,Coin Pack - 1000,02h 36m,19,4,One-time,No,85
09/02/2023,05/02/2023,Hardcore,Ultra Bundle,00h 53m,29,4,One-time,Yes,623
07/02/2023,16/01/2023,Casual,Ultra Bundle,02h 15m,19,4,One-time,Yes,610
29/01/2023,17/01/2023,Casual,Season Pass,02h 47m,3,2,Subscription,Yes,590
02/02/2023,11/01/2023,Casual,Ultra Bundle,02h 07m,22,0,One-time,No,542
24/01/2023,30/12/2022,Casual,Character Skin,01h 47m,9,1,One-time,No,122
17/01/2023,08/01/2023,Hardcore,Premium Weapon,01h 09m,14,8,One-time,Yes,207
06/02/2023,19/01/2023,Hardcore,Season Pass,00h 27m,35,2,Subscription,Yes,535
26/01/2023,28/12/2022,Hardcore,Power-Up Bundle,02h 08m,35,10,One-time,Yes,164
08/02/2023,16/01/2023,Hardcore,Coin Pack - 5000,01h 58m,33,14,One-time,No,234
04/02/2023,13/01/2023,Casual,Coin Pack - 10000,00h 31m,22,1,One-time,No,474
09/02/2023,27/01/2023,Casual,Limited-Time Offer Pack,02h 35m,33,4,One-time,No,79
17/01/2023,24/12/2022,Hardcore,Lifetime Membership,00h 20m,7,15,Subscription,Yes,827
09/02/2023,17/01/2023,Casual,Coin Pack - 10000,01h 17m,15,2,One-time,No,447
20/01/2023,19/01/2023,Casual,Limited-Time Offer Pack,02h 40m,8,0,One-time,No,58
02/02/2023,14/01/2023,Casual,Limited-Time Offer Pack,00h 47m,18,1,One-time,No,51
28/01/2023,01/01/2023,Hardcore,Character Skin,02h 32m,33,6,One-time,No,119
26/01/2023,21/01/2023,Casual,Coin Pack - 1000,02h 18m,15,2,One-time,No,86
10/02/2023,11/01/2023,Casual,Lifetime Membership,01h 54m,38,0,Subscription,No,888
11/02/2023,10/02/2023,Casual,Power-Up Bundle,01h 46m,6,5,One-time,Yes,189
10/02/2023,29/01/2023,Hardcore,Character Skin,00h 55m,18,13,One-time,No,132
06/02/2023,29/01/2023,Casual,Coin Pack - 5000,02h 16m,17,3,One-time,No,225
21/01/2023,07/01/2023,Casual,Ultra Bundle,01h 50m,14,5,One-time,No,651
29/01/2023,31/12/2022,Casual,Limited-Time Offer Pack,02h 25m,3,4,One-time,No,63
19/01/2023,26/12/2022,Hardcore,Limited-Time Offer Pack,01h 00m,32,12,One-time,No,64
01/02/2023,05/01/2023,Casual,Power-Up Bundle,00h 09m,14,0,One-time,Yes,199
10/02/2023,29/01/2023,Whales,Character Skin,02h 56m,34,14,One-time,No,197
09/02/2023,10/01/2023,Casual,Character Skin,00h 52m,2,5,One-time,No,110
02/02/2023,23/01/2023,Casual,Lifetime Membership,01h 41m,33,2,Subscription,No,916
22/01/2023,06/01/2023,Casual,Ultra Bundle,01h 53m,5,4,One-time,No,561
04/02/2023,06/01/2023,Whales,Lifetime Membership,00h 11m,22,5,Subscription,Yes,995
12/02/2023,01/02/2023,Whales,Limited-Time Offer Pack,00h 24m,3,3,One-time,No,81
30/01/2023,05/01/2023,Whales,Ultra Bundle,01h 23m,10,14,One-time,Yes,508
28/01/2023,30/12/2022,Whales,Coin Pack - 5000,01h 02m,23,13,One-time,Yes,238
30/01/2023,21/01/2023,Whales,Coin Pack - 5000,00h 39m,1,5,One-time,No,220
06/02/2023,04/02/2023,Casual,Premium Weapon,02h 33m,23,1,One-time,Yes,273
21/01/2023,19/01/2023,Casual,Lifetime Membership,02h 23m,28,2,Subscription,No,873
20/01/2023,07/01/2023,Casual,Limited-Time Offer Pack,01h 32m,19,1,One-time,No,56
04/02/2023,06/01/2023,Hardcore,Ultra Bundle,01h 05m,37,9,One-time,No,640
12/02/2023,09/02/2023,Casual,Coin Pack - 10000,01h 23m,21,1,One-time,No,448
04/02/2023,02/02/2023,Casual,Lifetime Membership,00h 40m,31,3,Subscription,No,928
21/01/2023,27/12/2022,Hardcore,Coin Pack - 1000,02h 44m,16,8,One-time,No,89
03/02/2023,05/01/2023,Whales,Coin Pack - 5000,02h 11m,33,10,One-time,No,243
07/02/2023,15/01/2023,Hardcore,Season Pass,02h 09m,23,3,Subscription,No,577
22/01/2023,15/01/2023,Hardcore,Coin Pack - 10000,00h 53m,9,11,One-time,No,491
13/02/2023,18/01/2023,Hardcore,Premium Weapon,00h 45m,21,7,One-time,No,242
02/02/2023,16/01/2023,Hardcore,Season Pass,00h 36m,36,8,Subscription,No,523
23/01/2023,28/12/2022,Casual,Coin Pack - 5000,02h 31m,17,5,One-time,Yes,249
30/01/2023,05/01/2023,Hardcore,Limited-Time Offer Pack,01h 08m,3,15,One-time,Yes,96
02/02/2023,11/01/2023,Casual,Premium Weapon,01h 01m,27,3,One-time,Yes,267
22/01/2023,17/01/2023,Casual,Character Skin,00h 36m,24,3,One-time,No,163
05/02/2023,17/01/2023,Hardcore,Ultra Bundle,02h 58m,1,15,One-time,No,603
02/02/2023,12/01/2023,Casual,Ultra Bundle,02h 15m,1,5,One-time,No,677
18/01/2023,29/12/2022,Hardcore,Character Skin,01h 20m,6,0,One-time,No,195
29/01/2023,21/01/2023,Hardcore,Limited-Time Offer Pack,00h 23m,26,13,One-time,No,56
02/02/2023,20/01/2023,Casual,Ultra Bundle,03h 00m,19,0,One-time,Yes,499
02/02/2023,21/01/2023,Casual,Premium Weapon,01h 24m,19,3,One-time,No,216
